NUMBER,MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_PETRO,MAGERR_PETRO,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000
1,19.647629,0.026421532,14.8892765,0.006876212,14.82175,0.008715899,3742.264,1313.283,319.1663120492737,-1.3396724141581835
2,19.752808,0.028547326,14.019051,0.005434464,13.995114,0.007562619,3745.0818,1401.0867,319.1658806807761,-1.326259792109417
3,11.262188,3.666335E-4,10.451571,2.534967E-4,10.451571,2.534967E-4,1655.6128,1221.1432,319.4851564006517,-1.3536911106040104
4,11.376275,3.8642358E-4,10.73276,2.8873293E-4,10.73276,2.8873293E-4,8313.031,1207.9788,318.4678614690178,-1.3557350982454897
5,12.338383,6.021213E-4,11.938732,5.056453E-4,11.938732,5.056453E-4,4660.0303,1140.9841,319.02607063599936,-1.3660037251189896
6,21.160452,0.08731575,14.7334385,0.009750491,14.529221,0.011696574,3741.5522,1672.9589,319.1664176388273,-1.2847287880104659
7,13.290213,9.3439466E-4,12.959122,8.147947E-4,12.959122,8.147947E-4,7990.802,1072.1975,318.5170974806445,-1.37648442590781
8,13.493324,0.0010263773,13.15483,8.9440524E-4,13.15483,8.9440524E-4,9174.65,1078.308,318.3362045683597,-1.375515342797796
9,17.698362,0.007827561,15.436487,0.004462975,15.417769,0.0048108282,8847.988,1051.5507,318.38611732099264,-1.3796137544635108
10,14.761167,0.0018493226,14.353136,0.001598224,14.353136,0.001598224,5966.667,1110.8788,318.82640247387707,-1.3706048847896817
11,12.023372,5.2070816E-4,11.644549,4.40445E-4,11.644549,4.40445E-4,5152.4507,1210.5985,318.9508235282617,-1.3553724470045783
12,12.6552725,6.9690903E-4,12.305674,6.002592E-4,12.305674,6.002592E-4,1990.0182,1179.3994,319.43406139838646,-1.3600793526786634
13,16.481068,0.0041936077,16.179487,0.00415172,16.179487,0.00415172,8740.395,1057.3134,318.4025577560025,-1.378736974753778
14,17.421452,0.0067526046,17.085173,0.007218499,17.066763,0.0075652823,10026.881,1050.1991,318.2059892099076,-1.3797746652213498
15,17.933903,0.008906186,17.679125,0.010101569,17.679125,0.010101569,8600.006,1057.5328,318.42400923337283,-1.3787078081315374
16,19.544334,0.024539677,17.957777,0.022914954,17.920254,0.034369286,9570.066,1062.5219,318.2757867114907,-1.377911663985238
17,16.395353,0.0040214784,16.12303,0.0039654244,16.12303,0.0039654244,8314.883,1053.7948,318.46757638033336,-1.3792870612019192
18,15.946155,0.0032361865,15.631309,0.0030864847,15.631309,0.0030864847,10379.431,1076.0212,318.15212477163567,-1.3758142506795321
19,21.251993,0.094241366,20.25091,0.12606862,20.182882,0.13137563,10516.09,1039.1934,318.13124434699654,-1.3814328204484265
20,17.02916,0.005512482,16.721762,0.0056818314,16.7037,0.0058767255,7605.858,1067.766,318.5759189539498,-1.377170020755133
21,20.629772,0.056237202,20.502647,0.0916683,20.521065,0.08806154,10184.378,1042.5836,318.1819252966772,-1.380930782965935
22,18.436218,0.011913135,17.39609,0.011896909,17.35723,0.01766649,9676.153,1073.0991,318.25957766574004,-1.3762917278988671
23,17.5508,0.007228663,17.14505,0.008177194,17.14505,0.008177194,8858.931,1076.5792,318.38444575387075,-1.3757902664629054
24,20.603735,0.05506243,20.608139,0.07269533,20.645548,0.08373917,8988.404,1045.7798,318.36466193224993,-1.380490550039711
25,22.281385,0.23160242,22.127356,0.24786742,22.239014,0.29845136,10014.726,1038.5924,318.2078461535146,-1.3815480850580457
26,17.90223,0.008753759,17.654512,0.009755714,17.643476,0.010271734,7247.449,1065.2762,318.63068630477426,-1.3775570989569028
27,21.20849,0.0906851,20.74843,0.104044855,21.048435,0.2478126,6570.5317,1087.5925,318.734125582941,-1.3741574940918297
28,20.80104,0.064609066,20.770924,0.08442601,20.890732,0.13697654,8498.268,1053.1182,318.4395549011838,-1.3793851885125488
29,21.072819,0.08114388,20.848087,0.1066767,21.022833,0.18376532,9100.714,1057.1161,318.3475013848694,-1.3787550197556506
30,15.868001,0.0031173157,15.480124,0.0029244905,15.480124,0.0029244905,5637.513,1124.63,318.8767007738274,-1.3685052631314496
31,17.560751,0.007270108,17.184797,0.008261188,17.184797,0.008261188,7968.916,1084.526,318.5204418362648,-1.37460173485209
32,21.529325,0.11986539,20.943275,0.11203759,21.32991,0.32339698,8516.787,1060.5627,318.4367251979888,-1.378247483771487
33,21.486324,0.11540244,20.628605,0.13682383,20.844604,0.13486831,9460.3125,1054.9077,318.2925562517574,-1.379079031452272
34,17.435078,0.006800397,17.036015,0.007312627,17.036015,0.007312627,6494.336,1102.3763,318.7457691262885,-1.3718999323452614
35,16.559074,0.004358108,16.154581,0.0041732793,16.141376,0.0043275417,5330.506,1092.8567,318.9236149081064,-1.3733588064273252
36,19.112463,0.018218534,18.850994,0.022862423,18.836233,0.024599707,7893.1733,1075.1327,318.5320156045374,-1.3760384044168763
37,22.251322,0.22566105,22.415478,0.19944136,22.603516,0.3860766,7822.7407,1054.4517,318.54277778786667,-1.3791991155257306
38,22.044094,0.18773314,21.727589,0.17336112,21.92932,0.25616923,7545.452,1060.482,318.58514926392,-1.3782838858320905
39,21.854631,0.15896903,21.602413,0.21658741,21.59372,0.22859468,10088.989,1065.0436,318.1965000532708,-1.3775044678211026
40,20.449808,0.048867706,20.414888,0.06277519,20.532015,0.102812774,7634.1997,1065.0017,318.571588085562,-1.377591686741104
41,22.078571,0.19431804,21.98544,0.22666316,21.71608,0.317807,6762.074,1065.7051,318.7048559342777,-1.3774987484345187
42,21.775232,0.1482718,21.50658,0.18376146,21.573524,0.18906213,10462.577,1066.1248,318.13942097653745,-1.3773218726030283
43,21.479704,0.11500158,21.482618,0.14814742,22.798683,0.7288501,6877.611,1064.2158,318.6872008148768,-1.3777247379327826
44,22.349205,0.24724127,22.154697,0.27963477,21.993824,0.3004122,6245.1875,1070.3892,318.7838414671207,-1.3767882945460326
45,17.787603,0.008217537,17.501938,0.009244783,17.501938,0.009244783,8302.063,1086.7444,318.46953574720044,-1.3742543024149048
46,20.916018,0.07106288,19.84866,0.0762171,20.167719,0.17108199,5893.2334,1077.3698,318.83762389948157,-1.3757239172567397
47,21.776157,0.14827754,21.267704,0.16935128,21.450493,0.18257694,7963.34,1069.3488,318.52129371017253,-1.3769202454969243
48,21.750975,0.1448204,21.741524,0.15628962,22.215988,0.35707444,7487.475,1068.585,318.5940086140642,-1.3770472891602883
49,22.065413,0.19100668,22.025866,0.2819397,21.849443,0.28313386,10325.42,1068.2694,318.1603765345737,-1.3770008463760695
50,17.547836,0.0072172508,17.216896,0.008057419,17.216896,0.008057419,9191.413,1102.5244,318.33364370921754,-1.371815693887511
51,18.141674,0.0100216335,17.881348,0.011431146,17.853292,0.012005249,7660.3267,1083.2872,318.567595937361,-1.3747979417901728
52,22.104065,0.19797614,21.85293,0.253027,23.593672,1.9267101,6618.9526,1071.208,318.72672630782404,-1.3766598059627841
53,21.247704,0.09410269,20.99726,0.132123,20.948557,0.1410345,9145.564,1068.0996,318.3406486659179,-1.3770757083965008
