FIELD,index,SPLUS_F378,SPLUS_F395,SPLUS_F410,SPLUS_F430,SPLUS_F515,SPLUS_F660,SPLUS_F861,SPLUS_G,SPLUS_I,SPLUS_R,SPLUS_U,SPLUS_Z
"HYDRA-0011",0,19.362,19.308,20.407,20.541,20.768,20.292,20.794,22.816,22.543,22.776,20.108,21.946
"HYDRA-0012",1,20.183,20.123,21.173,21.274,21.572,21.173,21.684,23.617,23.421,23.642,20.918,22.829
"HYDRA-0013",2,20.185,20.12,21.178,21.274,21.568,21.16,21.664,23.613,23.392,23.622,20.965,22.813
"HYDRA-0014",3,20.114,20.04,21.062,21.152,21.442,21.094,21.645,23.482,23.35,23.56,20.851,22.744
"HYDRA-0015",4,20.194,20.129,21.185,21.305,21.567,21.052,21.439,23.631,23.36,23.585,20.984,22.76
"HYDRA-0016",5,20.183,20.122,21.138,21.22,21.52,21.141,21.66,23.574,23.403,23.61,20.981,22.822
"HYDRA-0017",6,20.089,20.038,21.096,21.216,21.508,21.007,21.474,23.567,23.279,23.542,20.884,22.6
"HYDRA-0018",7,20.168,20.101,21.101,21.177,21.452,21.119,21.65,23.493,23.38,23.597,20.923,22.805
"HYDRA-0019",8,20.206,20.129,21.148,21.237,21.523,21.13,21.654,23.566,23.392,23.603,20.983,22.809
"HYDRA-0020",9,20.179,20.122,21.184,21.303,21.561,21.101,21.619,23.61,23.353,23.583,20.969,22.756
"HYDRA-0021",10,19.427,19.411,20.529,20.65,20.835,20.322,20.828,22.926,22.564,22.827,20.224,21.97
"HYDRA-0022",11,20.208,20.132,21.169,21.26,21.543,21.146,21.657,23.602,23.391,23.622,20.997,22.824
"HYDRA-0023",12,20.221,20.168,21.212,21.317,21.594,21.16,21.681,23.641,23.409,23.635,20.99,22.83
"HYDRA-0024",13,20.128,20.072,21.125,21.227,21.529,21.142,21.658,23.578,23.393,23.605,20.853,22.82
"HYDRA-0025",14,20.229,20.133,21.177,21.247,21.525,21.158,21.685,23.578,23.416,23.628,20.982,22.836
"HYDRA-0026",15,20.173,20.124,21.168,21.233,21.493,21.107,21.622,23.538,23.343,23.575,20.937,22.726
"HYDRA-0027",16,20.056,19.989,21.018,21.107,21.423,21.075,21.62,23.465,23.33,23.54,20.83,22.705
"HYDRA-0028",17,20.284,20.213,21.274,21.391,21.644,21.167,21.677,23.689,23.428,23.639,21.066,22.848
"HYDRA-0029",18,20.28,20.221,21.28,21.398,21.649,21.179,21.694,23.708,23.432,23.663,21.05,22.85
"HYDRA-0030",19,20.299,20.205,21.288,21.404,21.643,21.175,21.655,23.708,23.398,23.653,21.05,22.804
"HYDRA-0031",20,19.444,19.44,20.543,20.689,20.854,20.337,20.847,22.939,22.585,22.839,20.215,21.989
"HYDRA-0032",21,20.262,20.201,21.26,21.374,21.632,21.166,21.663,23.7,23.413,23.661,21.047,22.812
"HYDRA-0033",22,20.24,20.16,21.253,21.361,21.618,21.165,21.664,23.68,23.394,23.634,21.021,22.817
"HYDRA-0034",23,20.275,20.212,21.253,21.354,21.604,21.167,21.678,23.673,23.422,23.656,21.035,22.811
"HYDRA-0035",24,19.454,19.403,20.481,20.604,20.801,20.315,20.82,22.874,22.556,22.808,20.208,21.938
"HYDRA-0036",25,19.303,19.238,20.304,20.405,20.649,20.265,20.797,22.784,22.555,22.786,20.095,21.936
"HYDRA-0037",26,19.418,19.403,20.473,20.593,20.798,20.313,20.818,22.87,22.558,22.807,20.164,21.945
"HYDRA-0038",27,20.247,20.175,21.258,21.383,21.626,21.152,21.67,23.682,23.412,23.638,21.024,22.857
"HYDRA-0039",28,19.432,19.408,20.488,20.617,20.812,20.318,20.827,22.901,22.569,22.817,20.182,21.976
"HYDRA-0040",29,20.221,20.163,21.239,21.362,21.616,21.137,21.633,23.674,23.389,23.621,20.992,22.808
"HYDRA-0041",30,19.467,19.412,20.516,20.641,20.835,20.327,20.826,22.908,22.565,22.821,20.247,21.959
"HYDRA-0042",31,20.132,20.047,21.129,21.247,21.531,21.08,21.602,23.581,23.336,23.559,20.929,22.759
"HYDRA-0043",32,20.27,20.199,21.261,21.379,21.634,21.152,21.656,23.688,23.405,23.643,21.064,22.832
"HYDRA-0044",33,19.432,19.381,20.468,20.585,20.799,20.344,20.849,22.844,22.565,22.813,20.136,21.953
"HYDRA-0045",34,19.525,19.445,20.517,20.625,20.827,20.344,20.833,22.933,22.59,22.852,20.297,21.977
