NUMBER,MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_PETRO,MAGERR_PETRO,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000
1,19.869532,0.055622973,14.255707,0.6201587,14.220984,1.0292007,3745.107,1401.2854,319.1658768455818,-1.326229433168909
2,19.596825,0.045268815,14.689505,0.008970225,14.496146,0.04132811,3742.4731,1313.6919,319.16628008166384,-1.3396099432041086
3,13.611297,0.0011058445,13.272225,9.233892E-4,13.272225,9.233892E-4,9174.65,1078.3077,318.336204529014,-1.375515378551538
4,13.407209,0.0010089164,13.076909,8.351163E-4,13.076909,8.351163E-4,7990.801,1072.1965,318.5170976310638,-1.3764845795011214
5,18.469152,0.014159264,15.507604,0.5296877,15.467188,0.57883257,8847.287,1054.1147,318.3862245801277,-1.3792221110613727
6,12.138904,6.778453E-4,11.762192,5.26643E-4,11.762192,5.26643E-4,5152.4487,1210.5974,318.95082381124126,-1.3553726179382852
7,12.461882,6.598159E-4,12.068043,0.00464774,12.068043,0.00464774,4659.9575,1141.1969,319.0260817609196,-1.3659712240375026
8,17.53813,0.0074214493,17.202885,0.0075222924,17.181053,0.007857285,10026.881,1050.1924,318.20598919524554,-1.379775698973044
9,12.772649,7.771313E-4,12.4235115,6.3568953E-4,12.4235115,6.3568953E-4,1990.0181,1179.3983,319.43406142207715,-1.3600795189580623
10,16.599468,0.004485161,16.295435,0.004266421,16.295435,0.004266421,8740.4,1057.3284,318.4025568422636,-1.3787346866557377
11,19.66621,0.027733492,18.109842,0.022786057,18.091831,0.03700902,9570.183,1062.5153,318.27576891414714,-1.3779126676089066
12,16.062817,0.003575404,15.748353,0.0032429714,15.748353,0.0032429714,10379.432,1076.019,318.15212456104723,-1.375814577650702
13,18.047531,0.009590996,17.799252,0.010334453,17.77225,0.010920289,8600.008,1057.5815,318.4240089442148,-1.378700370346416
14,17.145557,0.0058936714,16.841232,0.0058208937,16.821228,0.0060412413,7605.854,1067.7655,318.5759195507789,-1.3771700858070668
15,18.554384,0.013524975,17.515888,0.012366997,17.479116,0.018438281,9676.175,1073.1073,318.25957431842943,-1.3762904888311522
16,20.723883,0.058954347,20.620127,4.9589267,20.612633,5.056043,10184.372,1042.6746,318.18192629259727,-1.3809168848673534
17,21.359308,0.10290914,20.429733,0.1074285,20.042505,0.13748512,10516.586,1040.1887,318.1311686218872,-1.3812807622933356
18,17.665657,0.007815895,17.243473,0.008487634,17.243473,0.008487634,8858.916,1076.5748,318.384447981957,-1.3757909407639555
19,16.616087,0.16939421,16.286936,0.49672976,16.297379,0.49891976,8314.839,1054.7295,318.46758320895754,-1.3791442901777593
20,21.176971,0.08541587,20.931892,0.10862961,21.05687,0.17680122,9100.752,1057.0734,318.347495583193,-1.3787615426582451
21,17.677683,0.00782166,17.309624,0.008461949,17.309624,0.008461949,7968.9155,1084.5381,318.5204418830057,-1.3745998863360815
22,21.638336,0.12518087,21.047897,0.11524665,21.586073,20.382706,8516.787,1060.5625,318.4367251819908,-1.3782475226659303
23,21.618773,0.122547284,20.814363,0.14546011,21.067465,0.14971067,9460.28,1054.8154,318.2925611919765,-1.3790931179997261
24,18.025171,0.00939234,17.791285,0.35338357,17.763214,0.52778953,7247.4683,1065.4639,318.6306834159556,-1.3775284406173645
25,20.916107,1.5955335,20.950228,0.08719008,21.096962,9.197609,8498.163,1053.741,318.4395708060335,-1.3792900685468354
26,19.2302,0.01936634,18.997494,0.022908188,18.95345,0.027021196,7893.0723,1075.0775,318.53203098961046,-1.3760468236451415
