NUMBER,MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_PETRO,MAGERR_PETRO,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000
1,19.869532,0.055567786,14.256947,0.61754394,14.222603,1.0297728,3745.107,1401.2854,319.1658768455818,-1.326229433168909
2,19.584246,0.04471921,14.678464,0.008956084,14.488493,0.06288461,3742.456,1313.7006,319.16628270043526,-1.3396086209782334
3,13.611297,0.0011044176,13.272225,9.222183E-4,13.272225,9.222183E-4,9174.65,1078.3076,318.33620451844564,-1.3755154088238477
4,13.407209,0.0010076142,13.076909,8.3405426E-4,13.076909,8.3405426E-4,7990.801,1072.1965,318.51709763117753,-1.3764845794487304
5,18.46774,0.014127333,15.504885,0.5263365,15.463932,0.57569045,8847.283,1054.1155,318.3862251015097,-1.3792219989018348
6,12.138904,6.769694E-4,11.762194,5.2596634E-4,11.762194,5.2596634E-4,5152.4487,1210.5973,318.9508238077468,-1.3553726265072723
7,17.090792,0.0061074113,15.200859,0.099793315,15.180123,0.2066882,8740.342,1063.4359,318.40256591285737,-1.3778017387415853
8,12.461882,6.589634E-4,12.068043,0.0046423567,12.068043,0.0046423567,4659.9575,1141.1971,319.02608174338343,-1.3659711856578574
9,17.539242,0.007417554,17.202196,0.007522202,17.181053,0.007849568,10026.878,1050.1901,318.2059896978096,-1.379776057318306
10,19.66621,0.027705546,18.109842,0.022768604,18.091831,0.0369823,9570.183,1062.5153,318.27576891414714,-1.3779126676089066
11,16.062817,0.0035708644,15.748353,0.0032392037,15.748353,0.0032392037,10379.432,1076.019,318.15212456104723,-1.375814577650702
12,17.145557,0.005886403,16.841232,0.0058146687,16.821228,0.006034989,7605.854,1067.7655,318.5759195507789,-1.3771700858070668
13,18.554384,0.0135095725,17.515888,0.012356574,17.479116,0.0184243,9676.175,1073.1073,318.25957431842943,-1.3762904888311522
14,20.723883,0.058905017,20.620127,4.9553595,20.612633,5.052416,10184.372,1042.6746,318.18192629259727,-1.3809168848673534
15,21.359308,0.10282785,20.429733,0.10735133,20.042505,0.13738817,10516.586,1040.1887,318.1311686218872,-1.3812807622933356
16,17.665653,0.0078064767,17.247093,0.008460321,17.247093,0.008460321,8858.916,1076.5748,318.38444798950854,-1.3757909466468692
17,21.176964,0.085346475,20.931873,0.10854782,21.056824,0.17666751,9100.752,1057.0734,318.3474955833021,-1.3787615428140603
18,17.677683,0.0078122574,17.305286,0.0084963655,17.305286,0.0084963655,7968.9155,1084.5381,318.52044188304563,-1.3745998863281097
19,21.618773,0.12245361,20.814363,0.1453564,21.067465,0.1496034,9460.28,1054.8154,318.29256119197396,-1.3790931179995485
20,18.025171,0.0093813315,17.791285,0.3530937,17.763214,0.52739054,7247.4683,1065.4639,318.6306834159556,-1.3775284406173645
21,19.2302,0.01934632,18.997494,0.022888374,18.95345,0.026999282,7893.0723,1075.0775,318.5320309896085,-1.3760468236441925
22,20.575487,0.051194724,20.540749,0.06577523,20.668072,0.10957752,7634.2017,1065.0406,318.57158775846113,-1.3775857234367503
23,18.257921,0.010560089,17.999294,0.011742493,17.97268,0.012330537,7660.3345,1083.2869,318.56759475496847,-1.3747980093431207
24,21.359268,0.09833124,21.027191,0.13209078,21.059036,0.14728326,9145.563,1068.0996,318.3406487105173,-1.377075699972539
25,17.66358,0.0077419956,17.333223,0.008335627,17.333223,0.008335627,9191.418,1102.522,318.3336429401018,-1.371816067405407
26,21.940289,0.16527186,21.716394,0.21667248,21.87877,0.19673571,10089.072,1065.1296,318.1964873792889,-1.3774913255420633
27,16.90771,0.009197436,15.97215,0.009602423,16.058022,0.009105307,3739.7668,1213.6758,319.16669449688624,-1.3548880128035803
28,22.15066,0.19763072,22.178724,0.3125842,21.947685,0.28320602,10325.336,1068.1638,318.1603893560105,-1.3770169831264247
29,21.88154,0.15369226,21.866068,0.14969262,22.131063,0.27959168,7487.331,1068.6848,318.5940306618317,-1.3770320308260053
30,21.917078,0.16418935,21.638426,0.18893749,21.796,0.19379038,10462.683,1066.0657,318.13940489495786,-1.3773308841293672
31,19.725943,0.027289122,19.518543,0.033430964,19.482283,0.045903202,9009.159,1079.9933,318.36149113172127,-1.3752637294396302
32,20.330402,0.043490604,20.099146,0.06485495,19.98571,0.07516873,10261.405,1074.2037,318.1701573183305,-1.3760974149255054
33,21.440355,0.10557153,21.168144,0.10503399,21.214231,0.20701182,7735.354,1071.8746,318.5561312066608,-1.3765396581494074
34,21.903568,0.15711585,21.405687,0.17859285,21.591898,0.19430773,7963.3394,1069.3488,318.5212937731522,-1.3769202387643122
35,20.70951,0.05738428,20.538118,0.07036122,20.530485,0.10025785,9241.657,1080.1351,318.3259662541382,-1.3752338196231364
36,17.833418,0.008462178,17.567072,0.009016072,17.567072,0.009016072,9093.31,1098.0039,318.3486335924231,-1.3725096946351025
37,16.156292,0.0035997303,15.855492,0.0033581979,15.855492,0.0033581979,7612.491,1119.2764,318.5749058432092,-1.3693014531067962
38,19.449104,0.022312082,18.94878,0.031847034,18.983902,0.029450702,8003.2773,1102.5624,318.5151915103437,-1.371845779176357
39,22.160887,0.19853432,22.200178,0.17991552,23.019608,0.98592824,9774.372,1076.7275,318.2445706230691,-1.3757334389962994
40,21.509708,0.11284749,20.191706,0.10230415,19.91443,0.10847332,9150.625,1082.8223,318.3398755883981,-1.37482666068316
41,21.681017,0.1285049,21.663328,0.14333731,22.087337,0.31438795,7567.239,1081.8455,318.58182032212454,-1.3750201094749595
42,20.676949,0.056735273,19.166948,0.059927203,19.183456,0.110794194,9428.374,1098.3196,318.2974372074526,-1.3724491791941924
43,22.538452,0.273748,22.298542,0.22143242,22.887564,0.78601044,7536.5063,1080.9844,318.5865164157948,-1.3751522529269775
44,20.417234,0.045052584,20.271513,0.06276727,20.237082,0.074546926,7699.0425,1089.6475,318.5616799847654,-1.3738255649362805
45,20.899921,0.067943394,20.352856,0.0902249,20.109005,0.107386135,10143.988,1086.885,318.1880974447155,-1.374165824632444
46,13.895488,0.0012653875,13.546506,0.0010519908,13.546506,0.0010519908,7686.5464,1209.9979,318.56359079587753,-1.355441756336359
47,15.10464,0.5305395,14.548012,0.41827384,14.553943,0.4198521,5966.8193,1111.171,318.82637921818963,-1.3705602551510512
48,22.55355,0.2840031,22.53831,0.24712338,22.60496,0.35010475,10178.026,1082.7324,318.1828966966292,-1.3747985667778513
49,22.257515,0.2208511,22.071503,0.2604123,22.029144,0.33120397,10514.108,1080.2339,318.13154815395956,-1.3751642756850002
50,20.505468,0.048166588,20.351057,0.06870326,20.309753,0.07975422,9479.564,1088.8369,318.2896153351137,-1.3738956586001683
51,20.829765,0.062377207,20.785864,0.08015358,20.633411,0.10109627,7477.603,1090.6863,318.5955173833634,-1.3736713969290475
52,16.819733,0.004980212,16.52835,0.0048741363,16.52835,0.0048741363,7738.742,1120.7538,318.55561402129877,-1.3690730839445977
53,21.355724,0.097479776,21.248512,0.112662554,21.188103,0.15180591,7120.229,1099.1158,318.6501269193757,-1.3723900177843984
54,21.896626,0.15669371,22.00484,0.17363322,22.041704,0.32969928,9918.407,1093.8749,318.22256388684303,-1.3731081408026518
55,22.241655,0.21101393,22.261002,0.17870532,22.092941,0.32002133,7687.9365,1091.504,318.56337709733333,-1.3735422010943878
56,18.267323,0.010712843,17.988237,0.012019887,17.957222,0.012707886,8824.2,1124.4463,318.3897534353177,-1.3684796839440758
57,20.690088,0.056788396,20.433125,0.08107131,20.425829,0.080936335,9404.922,1119.9465,318.3010209732996,-1.3691465917930448
58,17.376831,0.006673908,17.088425,0.0068269074,17.088425,0.0068269074,9255.06,1131.0099,318.3239193770157,-1.3674622594394268
59,18.141867,0.01024741,17.882843,0.011242404,17.854313,0.011840236,10188.194,1124.5132,318.1813440951288,-1.368416302912964
60,21.06391,0.076823086,20.309204,0.08363803,20.34641,0.15600461,7914.2627,1106.4446,318.5287934073339,-1.3712549024089138
61,22.271719,0.21683452,22.20034,0.17829737,22.346098,0.26683056,7098.959,1100.3102,318.6533771333507,-1.3722079198841644
62,21.46546,0.106808,21.368547,0.1250636,21.449387,0.21487899,7897.9214,1106.9633,318.5312904003009,-1.3711760563941922
63,20.73002,0.057678938,20.665178,0.07205499,20.67235,0.10645139,7661.846,1107.6531,318.5673639719324,-1.3710759311826437
64,21.526768,0.11289136,21.06888,0.14009315,21.105265,0.11349195,9518.552,1106.1501,318.2836587527543,-1.3712495782030782
65,17.66871,0.0076813023,17.397572,0.007975001,17.37564,0.008318726,7087.8467,1129.6942,318.6550754433416,-1.3677195145002414
66,19.698242,0.026601283,19.353216,0.033401325,19.313158,0.037187744,6785.152,1121.8264,318.7013297530198,-1.3689255946006564
67,19.135277,2.9913993,18.730293,2.9290268,18.68214,3.674408,6572.7524,1121.8591,318.7337864498496,-1.3689230284666685
68,20.604418,0.052094877,20.507809,0.06522264,20.504385,0.09329057,7856.3354,1113.1528,318.53764504092277,-1.3702315396715876
69,22.032406,0.17443156,22.070402,0.16619997,22.193213,0.340946,7214.144,1108.1028,318.6357759632544,-1.3710156885734723
70,18.3473,0.01165314,18.119678,0.0127589,18.104408,0.01357297,1337.864,1194.5382,319.5337067509417,-1.3577427370751598
71,21.805317,0.14703253,20.890894,0.18510112,21.01065,0.184107,10313.172,1116.7135,318.1622490867685,-1.3696018806502404
72,21.613356,0.124765806,20.524828,0.1348287,20.340923,0.1674126,10161.914,1119.9315,318.1853593672316,-1.3691173207108776
73,19.894575,0.030357743,19.716642,0.03952113,19.66648,0.050220124,7308.531,1117.2562,318.6213530870834,-1.369615842208088
74,17.301992,0.0065666405,16.993904,0.006632601,16.993904,0.006632601,10553.423,1140.7045,318.12554304093766,-1.3659258795666622
75,20.588173,0.053576168,19.376875,0.058363028,19.391022,0.09331875,6651.3765,1132.9841,318.7217719719467,-1.3672227592197954
76,21.568468,0.11657456,21.540218,0.1393109,21.702019,0.24137908,8138.1167,1113.3452,318.49458767317634,-1.3701952901229302
77,21.553947,0.11551187,21.352882,0.1569383,21.176376,0.18344314,8033.2407,1114.5931,318.5106131393661,-1.3700073131187152
78,19.845404,0.029855773,19.692871,0.035576455,19.672087,2.0503342,2866.4294,1123.4976,319.30014617491395,-1.3686445882770863
79,20.37918,0.044379726,20.1838,0.0536613,20.112047,0.072444364,9937.409,1120.8555,318.21966114173193,-1.3689861418184852
80,18.342314,0.01109418,18.108118,0.012509854,18.079403,0.0131130135,7714.3013,1132.4781,318.55934884656335,-1.3672826823633584
81,21.70234,0.13441642,20.7128,0.15137574,20.58957,0.21788889,10048.57,1131.2924,318.2026771892033,-1.3673870749729495
82,16.299397,0.6667626,15.919202,0.65985835,15.880433,0.66260684,5638.436,1125.0466,318.8765597910378,-1.3684416136738093
83,19.97044,0.032480914,19.871859,0.03994665,19.912033,0.051369376,3149.6548,1126.7198,319.2568681097698,-1.368159233288781
84,21.273878,0.09154886,20.567333,0.11064456,20.620699,0.13647012,6685.807,1126.8738,318.716510619674,-1.3681557706870624
85,22.063099,0.17976654,21.64575,0.221588,21.702595,0.25208333,6834.719,1119.8,318.69375544615013,-1.3692345062293723
