NUMBER,MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_PETRO,MAGERR_PETRO,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000
1,22.130445,0.27700144,21.871515,0.16842566,22.091173,0.3567069,9078.841,2.3417497,318.1483941725849,-1.381873852616604
2,21.706394,0.19897819,21.64688,0.22563937,21.604893,0.26951322,9045.974,3.5158436,318.15341595273213,-1.3816960956450102
3,22.032019,0.26653835,21.767437,0.23305328,21.863092,0.27452517,8586.032,5.441432,318.22368950050884,-1.381422936425996
4,21.605831,0.18133287,21.729353,0.17458855,21.847347,0.31027445,8718.767,5.835232,318.2034089828707,-1.381356949398567
5,21.754557,0.20728761,21.693892,0.26687372,21.700874,0.2715343,8981.809,6.325375,318.1632194363154,-1.3812700071810053
6,21.423874,0.15442424,19.746954,0.11860019,19.321028,0.10165182,8158.121,9.639283,318.28907101269505,-1.380799361802971
7,20.245243,0.05493079,19.996239,0.06570264,19.862625,0.11059115,8859.6455,8.623566,318.181884402677,-1.3809246642944197
8,21.897305,0.23674573,21.793201,0.23855168,22.015718,0.40986678,9036.811,16.217829,318.15481616388604,-1.3797563894295737
9,20.994673,0.10537677,20.960127,0.12656753,22.232805,0.66130495,7723.8574,14.130161,318.35542485306087,-1.3801294360970982
10,21.303246,0.13843654,21.017868,0.17589615,20.87688,0.1930798,8499.175,15.045886,318.23696062671416,-1.379959619255184
11,21.698702,0.1972829,20.283958,0.11582929,19.869038,0.09704651,8174.3022,17.618578,318.2865988308609,-1.3795799098715011
12,21.01981,0.10790995,20.981281,0.13062324,21.187103,0.2633814,9020.286,16.437658,318.15734091175506,-1.3797235986780967
13,19.928951,0.042201348,18.911905,0.048021127,18.884218,0.060035612,9191.513,5.2244134,318.1311797553924,-1.3814280575570574
14,21.664766,0.19166373,20.541037,0.14360724,21.327896,0.18286514,8158.758,22.989332,318.28897397653054,-1.3787601482637113
15,21.716955,0.20120645,21.791878,0.2175289,22.280663,0.5692076,7751.661,23.898758,318.3511766902296,-1.3786363173136447
16,20.719023,0.08280241,20.69285,0.10580077,20.778486,0.16978768,8569.907,22.739275,318.2261535821494,-1.3787814614635445
17,20.181635,0.0524575,19.616798,0.07882384,19.515509,0.09971526,9210.201,14.400211,318.1283246763025,-1.3800256014545698
18,20.76118,0.085907005,20.663403,0.11079917,20.697172,0.16775073,7969.7095,19.267931,318.3178595672727,-1.3793357930462034
19,20.427956,0.06421058,20.413458,0.084340475,20.414314,0.10911689,6305.6274,23.054234,318.57213390272335,-1.3788057633536295
20,20.903696,0.09718736,20.255024,0.12231682,19.942898,0.118962966,8135.777,21.051445,318.29248531692485,-1.3790570510080717
21,21.111948,0.11679633,20.962536,0.13917893,21.146276,0.21305262,8038.6133,24.060202,318.30733146198526,-1.378601195303262
22,20.399233,0.06278596,19.743612,0.09816392,19.63924,0.104129665,8874.425,14.921027,318.1796265286551,-1.3799620825996664
23,20.447386,0.06538913,20.24107,0.09281034,20.191027,0.10696358,8756.644,25.150911,318.19762229810544,-1.3784048816415153
24,21.487257,0.16304043,21.136248,0.1824024,21.31218,0.16442233,5484.7646,30.727444,318.69756836847114,-1.3776474781415158
25,22.275166,0.33367622,21.976086,0.19186877,99.0,99.0,5497.009,31.010183,318.69569731004833,-1.3776041305853601
