NUMBER,MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_PETRO,MAGERR_PETRO,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000
1,18.434593,0.011265108,12.938712,0.002337952,12.869311,0.0029493326,2421.1775,378.25665,319.1657131553074,-1.3245535005995734
2,16.514158,0.003909286,99.0,99.0,99.0,99.0,119.4862,253.94385,319.5174138282181,-1.3434793272143957
3,16.277647,0.0034762614,99.0,99.0,99.0,99.0,518.5987,316.96265,319.4564306985816,-1.3338678086801985
4,14.866432,0.0017678498,8.318548,9.227411E-5,8.558344,1.069955E-4,351.81534,437.8639,319.4819119956714,-1.3153940249508818
5,14.939892,0.0018299951,11.981577,6.1803084E-4,11.981577,6.1803084E-4,64.221146,265.1588,319.52585765889904,-1.3417640916874949
6,16.895538,0.004742885,99.0,99.0,99.0,99.0,7364.9966,163.68538,318.41026076588105,-1.3572965246146738
7,14.906408,0.0018015028,9.019774,1.2976005E-4,99.0,99.0,7167.538,438.1569,318.4404365769327,-1.3153757771005912
8,99.0,99.0,99.0,99.0,99.0,99.0,6916.391,103.77672,318.47880735340124,-1.3664606073925913
9,99.0,99.0,99.0,99.0,99.0,99.0,698.64856,145.52515,319.4289227628751,-1.3600612762511248
10,15.334816,0.0022056582,99.0,99.0,99.0,99.0,578.46375,322.69885,319.4472834792588,-1.332993651556372
11,15.427579,0.0023046983,99.0,99.0,99.0,99.0,7374.4272,339.5364,318.40882260343886,-1.3304344734787623
12,15.09415,0.0019680234,99.0,99.0,99.0,99.0,7420.8384,16.545753,318.40172583991455,-1.3797705533731826
13,15.698587,0.0026234193,15.280819,0.0026907006,15.280819,0.0026907006,2414.039,179.90446,319.16680570784445,-1.3548530768436668
14,18.22012,0.0098786885,12.710282,0.0017391093,99.0,99.0,7545.3438,258.3302,318.38270549785835,-1.3428336368432419
15,16.739555,0.004380034,14.847771,0.002970023,99.0,99.0,7534.277,42.677216,318.38439290778746,-1.375775290727073
16,17.158749,0.0054411315,99.0,99.0,99.0,99.0,7528.2983,16.305288,318.385305945736,-1.3798038064331835
17,20.386526,0.04625308,99.0,99.0,99.0,99.0,6779.513,206.0745,318.49972407880915,-1.3508377773936728
18,15.953619,0.0029671069,99.0,99.0,99.0,99.0,6802.841,147.06296,318.4961587706891,-1.359851442132832
19,20.141155,0.037962962,99.0,99.0,99.0,99.0,5114.7583,388.59647,318.75411061832807,-1.3229843372928747
20,21.223944,0.09360474,15.339539,0.008668621,99.0,99.0,7672.929,254.91785,318.3632107229205,-1.343350696436931
21,19.094332,0.017365184,16.787252,0.019508699,99.0,99.0,7683.859,46.393246,318.3615370807584,-1.3752026436428821
22,19.807993,0.029222434,99.0,99.0,99.0,99.0,7100.5957,155.67874,318.450661206645,-1.3585273634767372
23,19.570807,0.02445563,99.0,99.0,99.0,99.0,252.51544,247.00912,319.49708804535993,-1.3445436744821355
24,16.493526,0.0038686283,99.0,99.0,99.0,99.0,586.6123,202.50339,319.4460405622969,-1.3513539788124298
25,21.320393,0.10176856,15.043954,0.008942933,99.0,99.0,7672.5356,132.6422,318.3632687851199,-1.3620284760138408
26,12.624699,6.241178E-4,11.3160305,3.5364545E-4,11.3160305,3.5364545E-4,3824.6226,177.3123,318.9512556639746,-1.355263402266694
27,18.938055,0.015606997,99.0,99.0,99.0,99.0,3902.812,131.87784,318.93930758354327,-1.3622040945445149
28,14.2156725,0.0013041932,10.084041,2.0480873E-4,99.0,99.0,15.864809,126.30901,319.53324897151526,-1.3629712930038538
29,18.387558,0.010943801,12.968529,0.0015471083,99.0,99.0,828.7604,93.93401,319.4090427900331,-1.3679461744378274
30,21.020454,0.07834696,15.142253,0.0088611925,99.0,99.0,954.8571,90.80777,319.38977536237775,-1.3684277392051503
31,18.946192,0.015724512,99.0,99.0,99.0,99.0,4416.306,131.46208,318.86084015808626,-1.362267683174133
32,20.639757,0.056942094,16.422543,0.016702201,99.0,99.0,187.62405,128.7685,319.5070053545226,-1.3626023911503002
33,12.1407385,4.9919647E-4,11.749807,4.2178784E-4,11.749807,4.2178784E-4,3335.0647,106.908325,319.02606538054533,-1.366015298698737
34,16.896877,0.0047461516,99.0,99.0,99.0,99.0,645.9539,94.36042,319.4369752607118,-1.3678749272282185
35,19.529102,0.023725323,99.0,99.0,99.0,99.0,4307.074,83.94188,318.87753193502505,-1.369526930121266
36,20.33833,0.044505216,99.0,99.0,99.0,99.0,4170.772,67.99692,318.898360398937,-1.3719627161122618
37,20.224195,0.0404882,14.548689,0.003757568,99.0,99.0,4014.736,63.78018,318.9222044248662,-1.3726067250007987
38,12.660859,6.346217E-4,12.334034,5.5424863E-4,12.334034,5.5424863E-4,7849.637,44.232975,318.33620655541216,-1.3755268024809486
39,20.039724,0.034994893,15.390038,0.007454431,99.0,99.0,252.31711,27.85022,319.49712262998435,-1.378019985185466
40,12.905002,7.103892E-4,12.581518,6.250068E-4,12.581518,6.250068E-4,6665.821,38.179634,318.51709454599813,-1.376487154989885
41,17.208643,0.0055851904,16.792412,0.0070507396,16.792412,0.0070507396,6644.0273,50.43505,318.5204248193998,-1.3746156292756269
42,14.292937,0.0013520065,13.848973,0.0011522548,13.848973,0.0011522548,4641.601,76.81643,318.8264125406796,-1.370614417055893
43,19.986376,0.033622283,18.29799,0.04628428,99.0,99.0,7664.499,11.829393,318.3644946399418,-1.3804829269527965
44,14.423343,0.0014367239,10.295629,2.2234317E-4,10.747308,2.8319246E-4,98.295074,15.578088,319.5206565046772,-1.3798884839663232
45,15.301635,0.0021709793,15.010339,0.0020689622,15.010339,0.0020689622,9054.481,41.932938,318.1521170117072,-1.3758277304572648
