NUMBER,MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_PETRO,MAGERR_PETRO,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000
1,20.179564,0.039540965,13.496043,0.0038512032,13.456257,0.0049543125,2418.8982,333.1938,319.1660618560269,-1.331437167289114
2,18.003267,0.00928433,99.0,99.0,99.0,99.0,512.1838,179.85275,319.457413363585,-1.3548112826662382
3,19.978565,0.033919856,99.0,99.0,99.0,99.0,195.42717,192.5648,319.50581182498115,-1.3528578663762967
4,13.867982,0.001220837,12.250336,6.3322706E-4,12.250336,6.3322706E-4,663.12146,148.00133,319.4343511705534,-1.3596818365441818
5,12.021894,5.203606E-4,11.643805,4.4041904E-4,11.643805,4.4041904E-4,3827.45,176.59811,318.95082361127186,-1.3553725095456297
6,12.338675,6.0221076E-4,11.938345,5.056888E-4,11.938345,5.056888E-4,3335.028,106.98106,319.02607094264124,-1.3660041880268585
7,19.151844,0.018836584,99.0,99.0,99.0,99.0,444.29544,67.52121,319.4677884954277,-1.371967479069887
8,19.370197,0.021790173,99.0,99.0,99.0,99.0,258.92093,67.19126,319.4961128371613,-1.3720109642706566
9,14.76115,0.001849568,14.352778,0.0015997211,14.352778,0.0015997211,4641.6675,76.878784,318.82640243762467,-1.3706048924195602
10,13.4931135,0.0010263264,13.155021,8.9477916E-4,13.155021,8.9477916E-4,7849.652,44.30783,318.3362043790449,-1.3755153675942138
11,16.559238,0.0043614744,16.155512,0.0041879974,16.143278,0.004341754,4005.5093,58.858345,318.92361438967606,-1.3733585538953694
12,17.785172,0.0082205,17.480368,0.009459424,17.480368,0.009459424,6977.074,52.80194,318.4695341072174,-1.374245503628198
13,17.559412,0.0072763064,17.172804,0.008353905,17.172804,0.008353905,6643.9243,50.530426,318.52044060513816,-1.3746010630320933
14,13.290184,9.3441654E-4,12.958299,8.1493723E-4,12.958299,8.1493723E-4,6665.8022,38.195213,318.51709738031553,-1.3764847755262095
15,15.945881,0.0032371904,15.631747,0.0030919586,15.631747,0.0030919586,9054.43,42.020992,318.15212478402924,-1.3758142829008697
16,17.549362,0.007238299,17.143282,0.00822114,17.143282,0.00822114,7533.9175,42.576717,318.3844477930413,-1.3757906533859994
17,17.69715,0.007836031,15.435995,0.00445597,15.417608,0.0047344128,7522.9717,17.53955,318.38611987973496,-1.3796154477461287
18,18.437649,0.011955333,17.401752,0.0119564505,17.366402,0.017861258,8351.171,39.113396,318.25957486499334,-1.3762895523772825
19,17.029716,0.0055196923,16.727188,0.005687037,16.708494,0.005873862,6280.858,33.767925,318.5759189437285,-1.3771697189892442
20,19.537903,0.024591893,17.95192,0.023011876,17.907558,0.03425517,8245.076,28.51013,318.2757852070011,-1.377913454104967
21,17.903776,0.008780638,17.664717,0.009826771,17.654093,0.010321126,5922.453,31.27687,318.63068571856104,-1.3775569991050178
22,16.480919,0.004196245,16.182007,0.004158812,16.182007,0.004158812,7415.3965,23.314346,318.4025574125608,-1.3787368196861516
23,17.230425,0.006121547,12.611635,8.3898223E-4,13.286866,0.0015936326,351.32318,12.117593,319.4819953023727,-1.3804268757540563
24,17.93486,0.008927756,17.681778,0.0101488875,17.657808,0.01072424,7275.0024,23.537333,318.4240097322894,-1.3787071205194916
25,16.395336,0.004023432,16.11918,0.003969564,16.11918,0.003969564,6989.879,19.802078,318.4675770523677,-1.3792859526869614
26,20.80863,0.06547453,17.015955,0.01794756,99.0,99.0,507.50372,10.38967,319.45813155291387,-1.380696556205719
27,17.4212,0.006761215,17.083946,0.0072444608,17.06522,0.007594849,8701.881,16.199389,318.2059892050903,-1.3797746274339782
28,20.809841,0.06562931,20.788654,0.08647437,20.92952,0.14251624,7173.2666,19.119488,318.4395549668633,-1.3793849932125617
29,20.620861,0.05624926,20.642057,0.07547635,20.690012,0.08714385,7663.4023,11.781054,318.3646621833077,-1.3804903484006226
30,20.624193,0.056401838,20.444944,0.08999352,20.503115,0.08745536,8859.378,8.583671,318.18192538125976,-1.3809307704038178
31,21.251093,0.094954595,20.241726,0.11514685,20.178686,0.11824475,9191.09,5.1932416,318.13124433302613,-1.3814328396878686
32,22.258701,0.22904798,22.039337,0.2371754,22.19908,0.29058778,8689.727,4.592423,318.20784605584714,-1.3815480739380221
33,21.09615,0.083192706,20.897253,0.1124273,21.15316,0.20547703,7775.753,23.075218,318.34749545278453,-1.3787612652095205
34,15.86798,0.003118466,15.480401,0.002929016,15.480401,0.002929016,4312.512,90.629166,318.8767009168629,-1.368505393782125
35,21.54415,0.122465014,20.966448,0.115391895,21.436897,0.35882086,7191.785,26.567493,318.43672544001925,-1.3782467537245857
36,21.479225,0.1156819,20.586926,0.1362541,20.825882,0.1338548,8135.313,20.907665,318.29255616845586,-1.3790790310163021
37,17.435116,0.006811916,17.038479,0.0073026093,17.038479,0.0073026093,5169.364,68.38512,318.7457649064344,-1.371898599037858
38,15.934866,0.0032200138,15.620131,0.0031580124,15.620131,0.0031580124,2434.3113,156.95941,319.1637081517458,-1.3583584140756517
39,19.11301,0.018325271,18.856195,0.023032978,18.850903,0.024763497,6568.177,41.117775,318.5320150704366,-1.3760406768653493
40,22.23367,0.22489211,22.193544,0.3139508,22.710558,0.34147877,6710.378,20.579855,318.5102857896391,-1.3791744765139962
41,20.914377,0.071527645,19.842884,0.076522164,20.145575,0.16927269,4568.2334,43.37012,318.83762386783354,-1.3757238690294413
42,21.513256,0.11904948,21.192152,0.16695072,21.0095,0.1821255,5257.8066,49.696136,318.73224986589634,-1.3747525579385185
43,20.468227,0.049701024,20.443195,0.06483823,20.604347,0.11067552,6309.201,31.041523,318.5715878347004,-1.3775855990458181
44,18.142992,0.010053377,17.8894,0.011499902,17.863913,0.012091078,6335.34,49.282444,318.5675939477585,-1.3747986765501787
45,18.372683,0.011497567,13.572786,0.0026596228,99.0,99.0,4348.758,923.7069,318.8711629576702,-1.241243825413159
46,21.538893,0.12172387,21.443,0.13595878,99.0,99.0,5552.5005,30.224094,318.6872176941505,-1.3777234764572455
47,21.45182,0.113059476,21.204685,0.14366966,22.14171,0.4857438,5026.425,53.419827,318.76760734122144,-1.3741859272792685
48,21.293528,0.09845977,21.063591,0.13559714,21.89077,0.4282269,5572.9204,39.351795,318.6840973529812,-1.3763288936697555
49,21.254026,0.09540108,21.018341,0.1342885,20.969847,0.1450963,7820.565,34.098896,318.3406485750382,-1.377075816158376
50,22.128387,0.2041341,21.908525,0.18280698,22.120283,0.30738756,6220.45,26.481396,318.5851495449739,-1.378283993530147
51,17.547953,0.007228875,17.218044,0.008091503,17.218044,0.008091503,7866.414,68.524254,318.33364360139717,-1.3718157233183117
52,21.89182,0.16623908,21.38007,0.2070759,21.771704,0.39179885,5379.8096,41.60667,318.7136065736995,-1.3759869065160875
53,21.84007,0.15834492,21.55596,0.21509027,21.55355,0.22252025,8763.989,31.043217,318.1965000317649,-1.3775045314060497
54,22.052341,0.19051671,21.953869,0.27333826,21.813028,0.27653593,9000.42,34.2695,318.1603765316996,-1.377000838915315
55,21.82346,0.15556481,21.73656,0.13786688,22.51792,0.45636034,6162.415,34.727547,318.5940177903671,-1.3770255054734486
56,21.777668,0.14990368,21.511677,0.18632509,21.578482,0.1916754,9137.577,32.1245,318.1394209583932,-1.377321902279528
57,19.616941,0.025986563,19.421417,0.032939907,19.409462,0.04601159,7684.1597,45.99505,318.3614911069406,-1.3752634579875702
58,21.460617,0.113751255,20.750212,0.116388105,22.544434,1.0002135,4535.575,45.631805,318.8426143892945,-1.3753785021148317
59,20.220486,0.04105953,19.988646,0.059230708,19.907211,0.073513426,8936.404,40.20271,318.1701573969973,-1.3760975797582944
60,21.346779,0.10297933,21.082779,0.10512025,21.232336,0.22437383,6410.3545,37.87196,318.55613113619785,-1.37654006020663
61,21.680153,0.13764426,20.897682,0.16142419,21.04902,0.15061511,6638.5356,35.3616,318.5212638045151,-1.3769182801719289
62,21.591446,0.12760071,20.65035,0.112934716,21.749065,0.4732787,4445.0977,46.51666,318.85644036477294,-1.3752436135270956
63,21.540627,0.122275144,21.153513,0.15779305,21.709766,0.39818352,5558.2837,46.082664,318.6863340491432,-1.375300915107848
64,22.185345,0.21490626,22.086477,0.25357273,22.065802,0.39380786,5437.245,31.625778,318.704829788386,-1.377510851113574
65,21.810143,0.15423599,21.828917,0.14943627,22.424503,0.5252126,5580.109,36.18587,318.68299892536066,-1.3768124066061638
66,20.605556,0.055445954,20.449713,0.068025984,20.473576,0.10124994,7916.658,46.135124,318.325966073716,-1.375233820908146
67,21.376402,0.10571103,20.548477,0.102683924,21.494547,0.49054763,4187.9224,61.55635,318.89573963512305,-1.372946555532292
68,21.662975,0.13559623,21.647444,0.15866074,22.550705,0.6534175,4515.5537,60.93616,318.84567397766966,-1.3730407300457976
69,21.587002,0.12691571,21.410255,0.15938295,99.0,99.0,5562.5444,43.525074,318.6856829919651,-1.3756915434332158
70,21.869753,0.16253321,21.156113,0.15191548,22.093872,0.60466576,4385.811,45.912395,318.865500033261,-1.375336057774632
71,21.315659,0.100490406,21.342867,0.14877558,99.0,99.0,4327.925,45.727016,318.8743456896483,-1.3753644784451715
72,21.899088,0.16704687,21.862297,0.20235966,21.91472,0.27422306,5585.166,40.6988,318.6822261712289,-1.3761229629713554
73,17.71663,0.007919495,17.450977,0.008798988,17.450977,0.008798988,7768.3096,64.00472,318.3486335475377,-1.3725095649693684
74,22.134312,0.20537432,22.14753,0.18430874,23.569754,1.2431126,5066.3228,51.064365,318.7615105222843,-1.3745453986546197
75,21.296917,0.09903571,20.698336,0.12038355,20.54717,0.16653602,4536.9395,40.901836,318.84240594622224,-1.3761010304424663
76,21.123642,0.085392825,21.056137,0.14773655,21.613558,0.3548083,4229.138,46.10905,318.88944141089473,-1.3753062195530041
77,21.781775,0.15032777,21.430086,0.13611446,22.357462,0.5918429,4547.1646,44.159615,318.8408434167115,-1.375603347575541
78,21.48183,0.11585571,21.191717,0.12426284,22.54699,0.8106826,4359.815,43.705795,318.86947256342256,-1.3756731809534852
79,22.133074,0.20514864,22.333527,0.20575687,22.690876,0.42190406,5520.119,41.968807,318.69216595067866,-1.3759298385836136
80,21.138931,0.08625729,21.099453,0.112354256,21.5736,0.25275078,4589.198,41.277096,318.83442024701856,-1.376043509369034
81,22.002007,0.18264844,21.928265,0.24698614,22.074425,0.36333296,5276.822,38.9629,318.72934406857524,-1.3763919201110317
82,22.364244,0.25289938,22.251263,0.30119184,22.02588,0.31222993,4920.1875,36.389164,318.7838414750728,-1.3767882954162864
83,16.039455,0.0033863888,15.741269,0.0032846616,15.741269,0.0032846616,6287.4893,85.27606,318.57490616312987,-1.3693014945848123
84,19.327454,0.021183303,18.82052,0.031138161,18.710604,0.036052715,6678.2524,68.57736,318.5151953128966,-1.3718434997798066
85,22.193262,0.21642566,22.133614,0.1866098,99.0,99.0,5737.3086,40.017254,318.6589774409717,-1.3762248610791834
86,21.897966,0.1671419,21.85035,0.16176102,99.0,99.0,5037.51,40.076775,318.76591340518047,-1.376224067988209
87,21.863264,0.16135576,21.891768,0.16125157,24.12063,2.2863371,5544.928,43.577675,318.68837488377045,-1.3756837459051883
88,21.893005,0.1657653,21.78405,0.15545695,24.87727,5.351444,4874.534,41.13568,318.79081781020614,-1.3760635578569738
89,18.065763,0.009617044,18.04405,0.010514673,18.04405,0.010514673,5746.32,64.04714,318.6576006256337,-1.3725540307973676
90,21.029263,0.078746594,20.485758,0.10077122,21.136438,0.2691614,3981.365,55.37343,318.9273039026672,-1.3738908550252904
91,21.874205,0.16342579,20.90159,0.16038428,21.034748,0.16955438,4562.779,47.016983,318.8384574059925,-1.3751668078842298
92,21.811024,0.15411554,21.440918,0.14406596,99.0,99.0,5007.172,49.348263,318.77054938977506,-1.3748080419874977
93,21.939898,0.17316797,21.708939,0.20082806,23.085655,1.2625041,5332.1597,44.608772,318.7208879104568,-1.3755288687972151
94,21.435059,0.11118658,21.293938,0.12792152,22.386192,0.5783919,4788.2417,44.826294,318.8040042332973,-1.3755003472861405
95,22.343412,0.24763583,22.46736,0.20309362,23.569832,1.2620454,4515.599,42.16817,318.8456669802329,-1.3759076630374873
96,16.244484,0.0037386748,14.91117,0.0037388017,99.0,99.0,351.383,192.30931,319.4819827318004,-1.3529027458003002
97,21.723238,0.14292566,21.707216,0.15299256,22.466051,0.4059022,4254.142,47.9188,318.88562056340754,-1.3750297524390662
98,22.127447,0.20412572,22.058548,0.17045309,22.538492,0.38157725,5322.5464,45.671917,318.7223569553559,-1.3753665754801006
99,21.737019,0.14488244,21.29885,0.19885017,22.065447,0.6002811,4989.904,45.44812,318.7731880955134,-1.3754039521906543
100,21.316496,0.10041458,21.387848,0.1405065,21.971304,0.35433608,4239.376,45.357166,318.8878769758181,-1.3754210691562225
101,22.013266,0.18433109,21.896763,0.16196102,23.171999,1.1255583,4208.122,45.767,318.89265291232806,-1.375358479283691
102,22.088505,0.19687845,22.118847,0.1797181,23.622305,1.8203902,8449.373,42.729633,318.24457044188057,-1.3757331246743376
103,22.140867,0.20657364,22.440132,0.4110386,28.761204,199.90677,5336.633,43.174995,318.72020438427074,-1.3757478356503803
104,22.038452,0.18878417,21.101841,0.16718227,21.81665,0.19426607,4378.295,42.83389,318.86664856285347,-1.3758063350651544
105,18.188303,0.0103195775,17.891457,0.012311724,17.872929,0.013102947,4100.148,90.2181,318.9091525467623,-1.3685682505399455
106,21.401789,0.10796417,20.072113,0.10255352,19.774263,0.106207706,7825.6665,48.76683,318.3398693330527,-1.3748351174988411
107,21.768333,0.14833671,21.537928,0.1360301,21.750492,0.31179416,7235.272,46.611004,318.43008090540513,-1.375183785197271
108,21.713179,0.14167376,21.584421,0.15206937,99.0,99.0,4580.343,46.715218,318.8357734099399,-1.375212836668285
109,22.006453,0.18278913,22.000881,0.18116817,23.62455,1.4128098,4556.137,43.99128,318.83947230818603,-1.375629028714224
110,19.964434,0.033541273,20.034317,0.04159466,20.146652,0.057665247,4342.5596,48.43524,318.87210935921206,-1.374950756405948
111,22.435799,0.26875973,22.318329,0.17832766,22.436342,0.2880122,5008.8857,41.61637,318.770287459503,-1.3759891221902987
112,21.78369,0.15081383,20.905884,0.18847269,21.021849,0.2175253,3895.7554,68.05855,318.9403859690705,-1.3719529204880643
113,20.95095,0.07374417,20.282442,0.087345056,20.696314,0.18761499,3826.3088,66.81122,318.9509981839992,-1.3721432451023907
114,21.8139,0.15510565,20.475885,0.20606461,20.316475,0.16239472,3383.4766,58.879967,319.0186677396652,-1.3733523289537557
115,21.726103,0.14317381,21.62408,0.17522861,99.0,99.0,5415.542,49.93973,318.7081463103811,-1.3747135569377036
116,20.383389,0.046451632,20.158512,0.060113456,20.198614,0.05318194,3827.0737,49.273117,318.95088132181587,-1.3748223083298803
117,21.607992,0.12935235,21.60586,0.1465792,22.189869,0.37003636,6242.2363,47.84878,318.5818207320962,-1.375019597775279
118,22.253075,0.22863367,22.263594,0.23787187,23.680452,1.2891926,5209.826,42.40725,318.7395816617025,-1.375866474893733
119,21.749353,0.14634302,22.112684,0.41102687,99.0,99.0,3170.1746,63.9126,319.0512624172195,-1.3725816915444267
